year,group,match,team,score,TPP,shots,target,possession,target_shots,coner.kicks,TPC,TPA,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPP,LPP_SPP,MPC,MPA,SPA_LPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,side,formation,Opponent,side_attack,result,cluster
2010,F,32,Slovakia,1,61,13,3,48,0.230769231,10,248,407,1.384615385,0.490909091,54,110,39,66,0.490909091,0.590909091,0.830769231,155,231,0.6,3,17,6,0.038461538,12,15,22,2,19,6,45,33,22,15,51,4132,New Zealand,51,d,1
2010,F,33,Slovakia,0,70,6,1,51,0.166666667,3,330,469,0.56097561,0.489361702,46,94,82,121,0.489361702,0.67768595,0.722106902,202,254,1.287234043,4,17,10,0.032258065,11,16,16,4,19,5,0,50,50,14,50,442,Paraguay,50,l,1
2010,F,33,Paraguay,2,67,11,5,49,0.454545455,1,308,457,0.705882353,0.545454546,48,88,68,101,0.545454545,0.673267327,0.810160428,192,268,1.147727272,2,11,6,0.052631579,17,19,16,8,12,9,33,25,42,18,58,433,Slovakia,58,w,3
2010,F,34,Italy,1,75,23,7,57,0.304347826,15,426,571,0.539215686,0.572916667,55,96,102,130,0.572916667,0.784615385,0.730187908,269,345,1.354166668,3,8,4,0.066666667,15,22,17,9,9,13,20,35,45,11,61,442,New Zealand,61,d,4
2010,F,34,New Zealand,1,52,3,1,43,0.333333333,0,162,310,0.794117647,0.310344828,27,87,34,56,0.310344828,0.607142857,0.511156187,101,167,0.643678161,7,18,8,0.03030303,16,15,13,4,20,1,50,50,0,25,49,433,Italy,49,d,1
2010,F,35,Slovakia,3,69,12,4,50,0.333333333,6,292,422,0.565789474,0.452631579,43,95,76,102,0.452631579,0.745098039,0.607479224,173,225,1.073684211,3,12,9,0.041666667,15,14,19,7,12,9,50,10,40,20,62,442,Cameroon,62,w,3
2010,F,35,Italy,2,75,16,6,50,0.375,3,367,487,0.342105263,0.469879518,39,83,114,133,0.469879518,0.857142857,0.548192771,214,271,1.60240964,5,12,9,0.038461538,18,16,12,9,13,6,24,29,47,17,59,4123,Slovakia,59,l,3
2010,F,36,Paraguay,0,76,17,5,57,0.294117647,2,439,580,0.734177215,0.630434782,58,92,79,119,0.630434783,0.663865546,0.949642267,302,369,1.29347826,2,10,3,0.066666667,22,22,17,7,13,4,50,20,30,13,55,4321,New Zealand,55,d,4
2010,F,36,New Zealand,0,76,4,0,43,0,0,439,580,0.734177215,0.630434782,58,92,79,119,0.630434783,0.663865546,0.949642267,302,369,1.29347826,6,14,11,0.032258065,10,9,29,1,14,6,50,0,50,19,63,3421,Paraguay,63,d,3
2010,G,37,Ivory Coast,0,76,5,1,49,0.2,6,350,458,0.283185841,0.444444444,32,72,113,131,0.444444444,0.86259542,0.515240905,205,255,1.819444443,3,9,2,0.071428571,17,20,16,11,11,11,42,29,29,18,60,4123,Portugal,60,d,4
2010,G,37,Portugal,0,76,7,2,51,0.285714286,4,350,458,0.283185841,0.444444444,32,72,113,131,0.444444444,0.86259542,0.515240905,205,255,1.819444443,3,11,5,0.052631579,16,27,19,2,13,4,20,0,80,13,49,4123,Ivory Coast,49,d,3
2010,G,38,Brazil,2,83,26,10,63,0.384615385,7,595,715,0.429447853,0.636363637,70,110,163,191,0.636363636,0.853403141,0.745677635,362,414,1.736363637,3,5,4,0.083333333,15,22,20,9,8,14,27,26,47,9,65,41212,North Korea,65,w,4
2010,G,38,North Korea,1,66,11,3,37,0.272727273,3,239,362,0.36,0.385714286,27,70,75,100,0.385714286,0.75,0.514285714,137,192,1.428571429,8,15,6,0.034482759,13,18,20,3,16,4,22,56,22,10,54,433,Brazil,54,l,1
2010,G,39,Brazil,3,84,12,6,56,0.5,4,456,545,0.4375,0.644736842,49,76,112,138,0.644736842,0.811594203,0.794407895,295,331,1.815789473,4,12,4,0.05,12,25,23,2,14,4,11,56,33,17,49,4312,Ivory Coast,49,w,4
2010,G,39,Ivory Coast,1,76,10,4,44,0.4,3,305,400,0.4,0.551724138,32,58,80,107,0.551724138,0.747663551,0.737931034,193,235,1.844827585,5,10,5,0.05,19,16,17,6,11,11,37,13,50,23,63,433,Brazil,63,l,3
2010,G,40,Portugal,7,75,26,13,54,0.5,5,440,586,0.566666667,0.62962963,68,108,120,150,0.62962963,0.8,0.787037037,252,328,1.388888889,3,11,5,0.052631579,15,18,17,7,12,10,43,48,9,18,57,433,North Korea,57,w,4
2010,G,40,North Korea,0,70,15,4,46,0.266666667,1,323,461,0.342592593,0.5,37,74,108,146,0.5,0.739726027,0.675925926,178,241,1.972972973,3,12,8,0.043478261,13,20,16,4,14,10,0,60,40,3,54,523,Portugal,54,l,1
2010,G,41,Portugal,0,69,13,3,39,0.230769231,4,275,398,0.852459016,0.584269663,52,89,61,89,0.584269663,0.68539,0.07662553,162,220,1,8,16,7,0.032258065,12,13,18,5,17,4,60,10,30,11,54,4123,Brazil,54,d,3
2010,G,41,Brazil,0,84,19,5,61,0.263157895,7,596,712,0.5625,0.65625,63,96,112,141,0.65625,0.794326241,0.826171875,421,475,1.46875,3,7,3,0.076923077,15,30,18,5,7,12,31,32,37,18,56,433,Portugal,56,d,4
2010,G,42,North Korea,0,58,8,4,39,0.5,0,242,414,0.4875,0.428571429,39,91,80,129,0.428571429,0.620155039,0.691071429,123,194,1.417582417,7,15,4,0.038461538,11,21,18,1,16,7,25,50,25,13,48,541,Ivory Coast,48,l,1
2010,G,42,Ivory Coast,3,76,28,15,61,0.535714286,7,470,622,0.578125,0.691588785,74,107,128,172,0.691588785,0.744186047,0.92932243,268,343,1.607476636,4,6,3,0.076923077,14,19,21,9,8,16,25,30,45,16,67,4123,North Korea,67,w,4
2010,H,43,Honduras,0,58,7,2,43,0.285714286,4,201,347,0.769230769,0.412371134,40,97,52,72,0.412371134,0.722222222,0.570975416,109,178,0.742268041,4,15,5,0.041666667,13,18,17,4,17,7,49,13,38,15,50,4231,Chile,50,l,1
2010,H,43,Chile,1,73,20,5,57,0.25,6,383,526,1.3,0.587096774,91,155,70,93,0.587096774,0.752688172,0.78,222,278,0.6,5,12,6,0.043478261,14,22,16,6,13,6,25,25,50,21,53,433,Honduras,53,w,2
2010,H,44,Spain,0,77,24,8,63,0.333333333,12,527,683,1.555555556,0.751677852,112,149,72,108,0.751677852,0.666666667,1.127516779,343,426,0.724832215,3,6,2,0.090909091,16,23,16,14,9,11,33,28,39,8,62,4123,Switzerland,62,l,4
2010,H,44,Switzerland,1,57,8,3,37,0.375,3,182,318,0.755102041,0.425287356,37,87,49,78,0.425287356,0.628205128,0.676988037,96,153,0.896551724,3,20,10,0.03030303,14,15,12,2,21,4,0,67,33,21,45,442,Spain,45,w,1
2010,H,45,Chile,1,77,20,7,58,0.35,5,437,570,1.467741935,0.679104477,91,134,62,86,0.679104478,0.720930233,0.94198363,284,350,0.641791045,4,9,5,0.055555556,15,21,18,10,9,9,53,21,26,19,61,433,Switzerland,61,w,2
2010,H,45,Switzerland,0,56,7,1,42,0.142857143,3,165,296,0.314814815,0.217948718,17,78,54,71,0.217948718,0.76056338,0.286562203,94,147,0.910256411,5,15,9,0.034482759,9,16,17,6,16,7,40,20,40,26,53,442,Chile,53,l,1
2010,H,46,Spain,2,77,22,7,57,0.318181818,12,486,632,0.398305085,0.540229885,47,87,118,154,0.540229885,0.766233766,0.705045782,321,391,1.770114942,4,7,4,0.066666667,8,21,19,12,9,16,27,23,50,9,63,41212,Honduras,63,w,4
2010,H,46,Honduras,0,68,9,0,43,0,2,293,429,0.407407407,0.471428571,33,70,81,117,0.471428571,0.692307692,0.680952381,179,242,1.671428572,6,11,10,0.037037037,10,18,19,4,13,9,17,33,50,19,58,4231,Spain,58,l,3
2010,H,47,Chile,1,72,9,4,41,0.444444444,3,292,406,0.657142857,0.534883721,46,86,70,95,0.534883721,0.736842105,0.725913621,176,225,1.104651163,8,14,5,0.037037037,17,13,14,6,16,7,40,40,20,21,57,433,Spain,57,l,1
2010,H,47,Spain,2,84,9,3,59,0.333333333,4,617,734,0.298013245,0.616438356,45,73,151,178,0.616438356,0.848314607,0.726662433,421,483,2.438356162,2,6,5,0.076923077,14,33,23,4,6,7,62,25,13,13,55,4123,Chile,55,w,4
2010,H,48,Switzerland,0,79,17,5,56,0.294117647,5,485,611,0.526315789,0.543478261,50,92,95,115,0.543478261,0.826086957,0.657894737,340,404,1.25,4,11,5,0.05,16,24,16,4,12,8,28,43,29,12,53,442,Honduras,53,d,4
2010,H,48,Honduras,0,66,8,2,44,0.25,3,263,401,0.707692308,0.489361702,46,94,65,98,0.489361702,0.663265306,0.737806874,152,209,1.042553192,6,15,7,0.035714286,16,13,15,6,16,6,66,17,17,18,56,442,Switzerland,56,d,3
2010,16,49,Uruguay,2,62,14,8,45,0.571428571,3,268,434,0.661764706,0.436893204,45,103,68,99,0.436893204,0.686868687,0.636065106,155,232,0.961165049,4,11,6,0.047619048,16,15,21,5,12,10,20,10,70,12,62,433,South Korea,62,w,3
2010,16,49,South Korea,1,71,15,5,55,0.333333333,3,424,596,0.589285714,0.545454546,66,121,112,146,0.545454545,0.767123288,0.711038961,246,329,1.206611571,3,7,6,0.0625,14,17,21,9,8,15,9,27,64,12,68,4231,Uruguay,68,l,4
2010,16,50,United States,1,60,20,6,51,0.3,5,381,632,0.564705882,0.372093023,48,129,85,143,0.372093023,0.594405594,0.625991792,248,360,1.108527132,7,15,6,0.035714286,11,19,13,4,15,10,23,33,44,11,51,442,Ghana,51,l,1
2010,16,50,Ghana,2,63,16,6,49,0.375,4,451,711,0.794117647,0.532894737,81,152,102,167,0.532894737,0.610778443,0.87248452,268,392,1.09868421,3,10,6,0.052631579,14,19,21,5,12,10,34,33,33,19,59,523,United States,59,w,3
2010,16,51,Germany,4,66,17,7,48,0.411764706,4,273,411,0.711864407,0.506024096,42,83,59,97,0.506024096,0.608247423,0.831937921,172,231,1.168674699,5,11,8,0.041666667,14,15,17,8,11,11,27,40,33,7,63,4231,England,63,w,3
2010,16,51,England,1,70,19,9,52,0.473684211,6,357,508,0.438202247,0.419354839,39,93,89,119,0.419354839,0.74789916,0.560710402,229,296,1.279569893,5,9,5,0.052631579,19,25,14,6,10,7,33,42,25,6,56,442,Germany,56,l,4
2010,16,52,Argentina,3,73,11,6,51,0.545454545,2,380,522,0.419047619,0.530120482,44,83,105,141,0.530120482,0.744680851,0.711876076,231,298,1.698795182,4,12,3,0.052631579,16,20,19,6,15,5,25,50,25,11,53,4123,Mexico,53,w,4
2010,16,52,Mexico,1,75,16,6,49,0.375,5,389,522,0.584269663,0.604651163,52,86,89,123,0.604651163,0.723577236,0.835641495,248,313,1.430232558,3,7,5,0.066666667,13,21,20,12,8,11,28,43,29,26,64,433,Argentina,64,l,4
2010,16,53,Netherlands,2,74,16,9,52,0.5625,5,391,527,1.081967213,0.589285714,66,112,61,88,0.589285714,0.693181818,0.850117096,264,327,0.785714286,4,14,6,0.041666667,15,17,19,4,15,6,29,57,14,17,54,4231,Slovakia,54,w,2
2010,16,53,Slovakia,1,73,12,3,48,0.25,2,366,504,0.538461538,0.545454546,42,77,78,105,0.545454545,0.742857143,0.734265734,246,322,1.363636364,3,11,6,0.05,16,19,23,4,12,6,45,22,33,19,58,41212,Netherlands,58,l,3
2010,16,54,Brazil,3,63,17,6,50,0.352941176,8,282,451,0.546666667,0.445652174,41,92,75,116,0.445652174,0.646551724,0.689275362,166,243,1.260869566,3,14,5,0.045454545,14,18,15,5,16,10,25,42,33,14,52,41212,Chile,52,w,1
2010,16,54,Chile,0,65,15,3,50,0.2,6,329,507,0.392405063,0.382716049,31,81,79,126,0.382716049,0.626984127,0.610407876,219,300,1.555555555,3,9,4,0.0625,11,21,17,10,11,12,24,63,13,18,57,433,Brazil,57,l,4
2010,16,55,Paraguay,0,60,13,6,58,0.461538462,6,368,615,1.3125,0.446808511,63,141,48,104,0.446808511,0.461538462,0.968085106,257,370,0.737588652,4,12,6,0.045454545,15,16,20,8,14,5,56,22,22,26,58,4123,Japan,58,d,2
2010,16,55,Japan,0,53,12,5,42,0.416666667,5,225,428,0.484375,0.316326531,31,98,64,97,0.316326531,0.659793814,0.479432398,130,233,0.989795919,4,13,6,0.043478261,10,17,19,3,15,11,33,50,17,29,53,4123,Paraguay,53,d,1
2010,16,56,Spain,1,84,19,10,61,0.526315789,6,635,754,0.409638554,0.686868687,68,99,166,188,0.686868687,0.882978723,0.777899477,401,467,1.898989898,3,9,6,0.055555556,11,29,17,8,10,7,30,50,20,13,52,442,Portugal,52,w,4
2010,16,56,Portugal,0,70,9,3,39,0.333333333,3,315,453,0.428571429,0.43373494,36,83,84,113,0.43373494,0.743362832,0.583476764,195,257,1.361445784,6,16,7,0.034482759,16,19,11,7,17,1,28,43,29,18,48,4123,Spain,48,l,1
2010,8,57,Netherlands,2,73,11,5,51,0.454545455,4,307,422,0.85483871,0.504761905,53,105,62,75,0.504761905,0.826666667,0.610599078,192,242,0.714285714,2,12,5,0.052631579,15,19,22,2,13,10,14,29,57,19,56,4231,Brazil,56,w,2
2010,8,57,Brazil,1,75,15,4,49,0.266666667,8,325,435,0.518072289,0.5375,43,80,83,110,0.5375,0.754545455,0.712349398,199,245,1.375000001,3,14,7,0.041666667,10,22,16,4,16,8,39,15,46,20,48,41212,Netherlands,48,l,3
2010,8,58,Uruguay,1,52,14,6,48,0.428571429,12,254,493,0.962264151,0.418032787,51,122,53,108,0.418032787,0.490740741,0.851840396,150,263,0.885245901,4,13,4,0.047619048,15,16,20,5,15,8,66,17,17,23,56,442,Ghana,56,d,3
2010,8,58,Ghana,1,57,26,8,52,0.307692308,8,350,615,0.533333333,0.4,48,120,90,154,0.4,0.584415584,0.684444444,212,341,1.283333334,4,11,4,0.052631579,12,22,19,5,11,12,8,46,46,23,56,4141,Uruguay,56,d,1
2010,8,59,Argentina,0,72,20,7,53,0.35,5,446,623,0.215517241,0.462962963,25,54,116,168,0.462962963,0.69047619,0.670498084,305,401,3.111111115,3,10,4,0.058823529,11,23,19,7,12,11,7,43,50,20,55,41212,Germany,55,l,4
2010,8,59,Germany,4,63,18,6,47,0.333333333,4,334,529,0.376237624,0.520547945,38,73,101,165,0.520547945,0.612121212,0.850400109,195,291,2.260273975,5,10,7,0.045454545,9,17,19,11,11,11,50,14,36,14,62,4231,Argentina,62,w,3
2010,8,60,Paraguay,0,55,9,4,40,0.444444444,1,190,347,0.359375,0.255555556,23,90,64,90,0.255555556,0.711111111,0.359375,103,167,1,7,17,9,0.03030303,12,15,16,2,18,4,60,20,20,25,50,4132,Spain,50,l,1
2010,8,60,Spain,1,79,16,6,60,0.375,7,532,672,0.448529412,0.544642857,61,112,136,166,0.544642857,0.819277108,0.664784664,335,394,1.482142858,4,9,6,0.052631579,16,21,18,7,10,9,19,50,31,12,60,4132,Paraguay,60,w,4
2010,4,61,Uruguay,2,58,12,6,47,0.5,4,326,565,0.388888889,0.472972973,35,74,90,160,0.472972973,0.5625,0.840840841,201,331,2.162162162,3,9,6,0.055555556,16,16,24,11,12,3,57,29,14,15,63,442,Netherlands,63,l,3
2010,4,61,Netherlands,3,64,11,7,53,0.636363636,5,390,610,0.390909091,0.457446808,43,94,110,184,0.457446809,0.597826087,0.765183752,237,332,1.957446809,6,12,7,0.04,18,19,12,4,14,8,25,50,25,16,55,4231,Uruguay,55,w,2
2010,4,62,Germany,0,75,5,2,49,0.4,6,441,589,0.5625,0.463917526,45,97,80,105,0.463917526,0.761904762,0.608891753,316,387,1.082474227,3,12,10,0.04,15,18,20,4,13,5,57,14,29,9,57,4231,Spain,57,l,3
2010,4,62,Spain,1,81,13,5,51,0.384615385,7,590,731,0.557377049,0.612612613,68,111,122,154,0.612612613,0.792207792,0.773297888,400,466,1.387387387,2,8,4,0.071428571,12,23,20,9,10,12,24,38,38,7,59,4231,Germany,59,w,4
2010,3,63,Uruguay,2,62,16,7,47,0.4375,6,303,485,0.405063291,0.432432432,32,74,79,133,0.432432432,0.593984962,0.728019158,192,278,1.797297299,2,11,7,0.05,12,19,24,4,13,8,23,33,44,13,57,442,Germany,57,l,3
2010,3,63,Germany,3,66,18,7,53,0.388888889,12,393,591,0.369565217,0.404761905,34,84,92,138,0.404761905,0.666666667,0.607142857,267,369,1.642857143,4,10,6,0.05,15,19,15,11,11,9,31,38,31,11,60,4231,Uruguay,60,w,4
2010,1,64,Netherlands,0,62,13,5,43,0.384615385,6,294,475,1.12962963,0.512605042,61,119,54,98,0.512605042,0.551020408,0.930283224,179,258,0.823529412,5,17,11,0.03030303,9,15,17,3,18,5,36,9,55,28,50,4231,Spain,50,l,1
2010,1,64,Spain,1,76,19,6,57,0.315789474,8,542,715,0.432624113,0.544642857,61,112,141,174,0.544642857,0.810344828,0.672112462,340,429,1.553571428,5,8,4,0.058823529,15,26,20,5,9,8,20,47,33,19,57,4231,Netherlands,57,w,4