year,group,match,team,score,shots,target,target_shots,coner kicks,possession,TPC,TPA,TPP,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPC_SPA,LPP_SPP,MPC,MPA,LPA_SPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,formation,Opponent,result
2010,A,1,South Africa,1,9,5,0.555555556,4,42,209,335,62,1.027777778,2.648648649,37,98,36,57,0.37755102,0.631578947,0.597789116,136,180,1.719298246,3,11,4,18,17,19,18,6,12,9,20,30,50,17,442,Mexico,d
2010,A,1,Mexico,1,14,5,0.357142857,5,58,447,561,80,1.227272727,1.444444444,81,117,66,86,0.692307692,0.76744186,0.902097902,300,358,1.360465116,3,10,5,18,16,24,18,4,10,10,12,38,50,13,4123,South Africa,d
2010,A,2,Uruguay,0,7,3,0.428571429,0,46,277,434,64,0.392857143,2.212121212,33,73,84,134,0.452054795,0.626865672,0.721135029,160,227,0.544776119,6,11,7,24,25,15,13,6,12,5,100,0,0,13,442,France,d
2010,A,2,France,0,18,3,0.166666667,4,54,369,531,69,0.330188679,2.485714286,35,87,106,133,0.402298851,0.796992481,0.504771199,228,311,0.654135338,4,8,4,16,17,17,16,11,9,14,47,40,13,20,4123,Uruguay,d
2010,A,3,South Africa,0,10,3,0.3,3,50,423,539,78,0.26984127,2.176470588,34,74,126,150,0.459459459,0.84,0.546975547,263,315,0.493333333,3,9,4,16,18,22,22,4,10,8,40,10,50,14,442,Uruguay,l
2010,A,3,Uruguay,3,19,6,0.315789474,4,50,290,401,72,0.346153846,2.592592593,27,70,78,92,0.385714286,0.847826087,0.454945055,185,239,0.760869565,5,10,4,19,21,14,18,8,11,9,29,21,50,10,41212,South Africa,w
2010,A,4,France,0,13,4,0.307692308,7,53,322,476,68,0.506493506,2.179487179,39,85,77,114,0.458823529,0.675438596,0.679297173,206,277,0.745614035,2,13,3,18,15,20,13,10,14,10,56,44,0,23,4231,Mexico,l
2010,A,4,Mexico,2,12,5,0.416666667,1,47,286,433,66,0.426829268,2.371428571,35,83,82,109,0.421686747,0.752293578,0.560534822,169,241,0.76146789,6,11,10,27,18,16,16,6,12,5,50,33,17,25,4123,France,w
2010,A,5,Mexico,0,11,2,0.181818182,6,59,476,595,80,0.680412371,1.484848485,66,98,97,119,0.673469388,0.81512605,0.826215022,313,378,0.823529412,3,10,6,19,15,22,19,7,11,7,25,17,58,20,4321,Uruguay,l
2010,A,5,Uruguay,1,15,5,0.333333333,7,41,188,315,60,0.860465116,2.216216216,37,82,43,65,0.451219512,0.661538462,0.682076007,108,168,1.261538462,2,10,7,19,12,15,22,7,13,12,46,8,46,13,4312,Mexico,w
2010,A,6,France,1,10,4,0.4,3,50,309,428,72,0.639344262,2.102564103,39,82,61,82,0.475609756,0.743902439,0.639344262,209,264,1,6,13,5,24,22,18,16,4,13,3,34,44,22,10,4231,South Africa,l
2010,A,6,South Africa,2,21,10,0.476190476,5,50,381,491,78,0.511363636,2.022222222,45,91,88,110,0.494505495,0.8,0.618131868,248,290,0.827272727,4,9,6,19,18,21,17,8,10,7,23,46,31,12,442,France,w
2010,B,7,South Korea,2,18,7,0.388888889,6,50,333,499,67,0.58974359,2.434782609,46,112,78,99,0.410714286,0.787878788,0.521291209,209,288,1.131313131,7,13,8,28,16,14,16,5,14,7,47,20,33,14,442,Greece,w
2010,B,7,Greece,0,6,2,0.333333333,11,50,340,500,68,0.642857143,2.462962963,54,133,84,113,0.406015038,0.743362832,0.546186896,202,254,1.17699115,3,10,5,18,15,20,23,4,13,7,62,13,25,12,442,South Korea,l
2010,B,8,Argentina,1,20,7,0.35,10,58,446,597,75,0.341880342,2.325,40,93,117,144,0.430107527,0.8125,0.52936311,289,360,0.645833333,5,10,6,21,14,17,19,10,10,9,62,25,13,7,4312,Nigeria,w
2010,B,8,Nigeria,0,11,1,0.090909091,4,42,231,367,63,0.439393939,2.689655172,29,78,66,97,0.371794872,0.680412371,0.546425796,136,192,0.804123711,5,12,3,20,10,16,19,8,13,14,0,0,100,8,433,Argentina,l
2010,B,9,Argentina,4,22,11,0.5,6,56,360,484,74,0.552941176,1.914893617,47,90,85,105,0.522222222,0.80952381,0.645098039,228,289,0.857142857,5,10,5,20,16,20,17,8,11,8,27,33,40,19,433,South Korea,w
2010,B,9,South Korea,1,13,2,0.153846154,2,44,207,336,62,1.189189189,1.931818182,44,85,37,61,0.517647059,0.606557377,0.853418124,126,190,1.393442623,4,11,9,24,9,20,19,6,11,11,50,25,25,19,4231,Argentina,l
2010,B,10,Greece,2,27,11,0.407407407,11,56,352,455,77,0.794520548,1.724137931,58,100,73,88,0.58,0.829545455,0.699178082,221,267,1.136363636,2,9,3,14,17,21,15,9,11,13,23,33,44,13,4123,Nigeria,w
2010,B,10,Nigeria,1,10,4,0.4,3,44,266,372,72,0.483870968,2.6,30,78,62,80,0.384615385,0.775,0.496277916,174,214,0.975,3,16,4,23,10,19,20,6,17,5,50,25,25,15,442,Greece,l
2010,B,11,Nigeria,2,11,4,0.363636364,1,45,301,438,69,0.714285714,1.977777778,45,89,63,93,0.505617978,0.677419355,0.746388443,193,256,0.956989247,5,13,6,24,14,19,16,5,13,9,24,38,38,22,4231,South Korea,d
2010,B,11,South Korea,2,16,8,0.5,7,55,364,490,74,0.509615385,1.735849057,53,92,104,125,0.576086957,0.832,0.692412207,207,273,0.736,5,8,6,19,22,14,14,12,9,10,47,12,41,12,442,Nigeria,d
2010,B,12,Greece,0,7,3,0.428571429,1,33,145,277,52,0.941176471,2.25,32,72,34,63,0.444444444,0.53968254,0.823529412,79,142,1.142857143,3,14,8,25,13,18,22,4,15,3,20,40,40,15,4141,Argentina,l
2010,B,12,Argentina,2,22,12,0.545454545,10,67,662,800,83,0.341176471,1.534482759,58,89,170,216,0.651685393,0.787037037,0.828023794,434,495,0.412037037,4,5,4,13,18,24,19,9,7,10,18,53,29,8,433,Greece,w
2010,C,13,England,1,18,8,0.444444444,8,53,339,487,70,0.955223881,1.921875,64,123,67,94,0.520325203,0.712765957,0.730008494,208,270,1.308510638,4,12,8,24,16,17,12,7,15,9,21,50,29,12,442,United States,d
2010,C,13,United States,1,13,4,0.307692308,4,47,218,376,58,0.563636364,2.903225806,31,90,55,84,0.344444444,0.654761905,0.526060606,132,202,1.071428571,3,11,4,18,11,22,21,5,14,9,11,33,56,14,442,England,d
2010,C,14,Algeria,0,11,2,0.181818182,4,48,343,479,72,0.569892473,2.188679245,53,116,93,114,0.456896552,0.815789474,0.560066741,197,249,1.01754386,7,15,7,29,17,14,13,6,16,3,75,0,25,17,433,Slovenia,l
2010,C,14,Slovenia,1,7,4,0.571428571,3,52,398,537,74,0.738461538,1.833333333,48,88,65,96,0.545454545,0.677083333,0.805594406,285,353,0.916666667,3,13,5,21,12,26,20,3,15,3,25,50,25,10,442,Algeria,w
2010,C,15,Slovenia,2,7,4,0.571428571,2,48,276,406,68,0.428571429,2.5,30,75,70,91,0.4,0.769230769,0.52,176,240,0.824175824,2,11,4,17,19,17,13,13,13,8,42,29,29,15,442,United States,d
2010,C,15,United States,2,14,6,0.428571429,4,52,303,428,71,0.52238806,2.485714286,35,87,67,81,0.402298851,0.827160494,0.486361297,201,260,1.074074074,3,11,8,22,14,23,20,4,13,4,37,13,50,18,442,Slovenia,d
2010,C,16,England,0,15,6,0.4,10,47,462,602,77,0.485148515,1.714285714,49,84,101,140,0.583333333,0.721428571,0.808580858,312,378,0.6,2,13,7,22,8,25,19,2,16,8,25,45,30,13,442,Algeria,d
2010,C,16,Algeria,0,11,1,0.090909091,3,53,383,530,72,0.365079365,2.239130435,46,103,126,153,0.446601942,0.823529412,0.542302358,211,274,0.673202614,6,11,5,22,17,15,18,7,13,8,37,25,38,13,3421,England,d
2010,C,17,Slovenia,0,13,6,0.461538462,2,45,241,391,62,1.046511628,2.266666667,45,102,43,78,0.441176471,0.551282051,0.800273598,153,211,1.307692308,6,15,7,28,17,15,16,6,16,2,14,29,57,19,442,England,l
2010,C,17,England,1,13,8,0.615384615,11,55,419,575,73,0.647619048,1.941176471,68,132,105,139,0.515151515,0.755395683,0.681962482,246,304,0.949640288,3,12,5,20,14,13,19,10,12,12,43,13,44,20,442,Slovenia,w
2010,C,18,United States,1,22,10,0.454545455,4,51,350,470,74,0.753246753,1.724137931,58,100,77,96,0.58,0.802083333,0.723116883,215,274,1.041666667,4,13,6,23,12,16,21,3,14,11,23,31,46,11,442,Algeria,w
2010,C,18,Algeria,0,19,4,0.210526316,6,49,331,447,74,0.641304348,1.728813559,59,102,92,111,0.578431373,0.828828829,0.697890026,180,234,0.918918919,5,14,6,25,17,15,15,6,16,6,40,25,35,21,3421,United States,l
2010,D,19,Serbia,0,13,2,0.153846154,4,51,325,454,72,0.796875,2.058823529,51,105,64,89,0.485714286,0.719101124,0.675446429,210,260,1.179775281,5,17,5,27,11,19,17,5,18,3,12,38,50,10,442,Ghana,l
2010,D,19,Ghana,1,16,3,0.1875,4,49,339,466,73,0.519480519,2.4,40,96,77,100,0.416666667,0.77,0.541125541,222,270,0.96,3,12,5,20,11,22,19,7,13,8,34,58,8,15,4231,Serbia,w
2010,D,20,Germany,4,16,10,0.625,4,55,472,616,77,1.295081967,1.569620253,79,124,61,96,0.637096774,0.635416667,1.002644104,332,396,1.291666667,2,11,6,19,10,22,24,2,13,10,20,30,50,10,4231,Australia,w
2010,D,20,Australia,0,10,2,0.2,7,45,384,530,72,0.482758621,2.095238095,42,88,87,119,0.477272727,0.731092437,0.652821317,255,323,0.739495798,3,13,6,22,10,20,24,0,15,9,8,23,69,19,4231,Germany,l
2010,D,21,Germany,0,15,4,0.266666667,7,51,459,570,81,0.523255814,1.755555556,45,79,86,111,0.569620253,0.774774775,0.735207536,328,380,0.711711712,3,12,10,25,10,17,20,6,13,9,21,29,50,19,4231,Serbia,l
2010,D,21,Serbia,1,9,3,0.333333333,1,49,328,448,73,0.739130435,1.901960784,51,97,69,90,0.525773196,0.766666667,0.685791125,208,261,1.077777778,4,16,4,24,11,20,16,4,19,6,28,36,36,10,4123,Germany,w
2010,D,22,Ghana,1,22,6,0.272727273,6,50,388,501,77,0.47826087,1.659090909,44,73,92,113,0.602739726,0.814159292,0.74032162,252,315,0.646017699,3,9,4,16,15,22,21,6,9,11,12,35,53,22,4231,Australia,d
2010,D,22,Australia,1,8,5,0.625,1,50,340,475,72,0.75,1.933333333,60,116,80,106,0.517241379,0.754716981,0.685344828,200,253,1.094339623,6,13,8,27,10,20,21,1,15,6,14,43,43,18,4231,Ghana,d
2010,D,23,Ghana,0,17,5,0.294117647,4,45,325,460,71,0.29787234,3.142857143,28,88,94,119,0.318181818,0.789915966,0.402804642,203,253,0.739495798,6,14,4,24,13,20,13,5,16,9,28,27,45,11,4123,Germany,l
2010,D,23,Germany,1,13,6,0.461538462,7,55,491,640,77,0.495412844,1.759259259,54,95,109,138,0.568421053,0.789855072,0.719652342,328,407,0.688405797,2,10,7,19,16,16,18,7,12,12,41,17,42,5,4231,Ghana,w
2010,D,24,Australia,2,17,7,0.411764706,5,45,321,481,67,0.718309859,2.235294118,51,114,71,103,0.447368421,0.689320388,0.648999259,199,264,1.106796117,4,19,7,30,11,13,18,4,20,4,31,23,46,25,4231,Serbia,w
2010,D,24,Serbia,1,23,6,0.260869565,6,55,418,579,72,0.783783784,1.913793103,58,111,74,101,0.522522523,0.732673267,0.713172632,286,367,1.099009901,4,10,5,19,13,20,23,4,11,10,15,55,30,10,4123,Australia,l
2010,E,25,Netherlands,2,18,7,0.388888889,6,58,460,576,80,0.479591837,2.106382979,47,99,98,122,0.474747475,0.803278689,0.591012162,315,355,0.81147541,2,12,3,17,15,21,20,7,14,6,35,36,29,13,4231,Denmark,w
2010,E,25,Denmark,0,10,3,0.3,2,42,252,374,67,0.697674419,2.5,30,75,43,70,0.4,0.614285714,0.651162791,179,229,1.071428571,8,19,7,34,14,16,11,3,20,4,66,17,17,20,442,Netherlands,l
2010,E,26,Japan,1,5,5,1,0,44,230,389,59,0.36,3.703703704,27,100,75,93,0.27,0.806451613,0.3348,128,196,1.075268817,3,14,11,28,7,10,28,1,15,11,0,40,60,20,4141,Cameroon,w
2010,E,26,Cameroon,0,11,4,0.363636364,3,56,341,481,71,0.697368421,2.377358491,53,126,76,96,0.420634921,0.791666667,0.531328321,212,259,1.3125,5,12,8,25,11,21,16,6,13,8,37,13,50,29,433,Japan,l
2010,E,27,Netherlands,1,9,5,0.555555556,4,61,517,668,77,0.986111111,1.718309859,71,122,72,97,0.581967213,0.742268041,0.784039162,374,449,1.257731959,4,11,4,19,19,20,18,3,13,6,25,50,25,18,4231,Japan,w
2010,E,27,Japan,0,10,3,0.3,5,39,259,406,64,0.603448276,2.028571429,35,71,58,94,0.492957746,0.617021277,0.79893152,166,241,0.755319149,3,11,9,23,9,20,22,6,12,6,25,25,50,11,4123,Netherlands,l
2010,E,28,Cameroon,1,23,8,0.347826087,7,54,429,559,77,0.725,1.672413793,58,97,80,107,0.597938144,0.747663551,0.799742268,291,355,0.906542056,3,8,3,14,12,21,17,9,10,17,34,33,33,9,442,Denmark,l
2010,E,28,Denmark,2,13,6,0.461538462,2,46,319,444,72,0.876923077,1.754385965,57,100,65,93,0.57,0.698924731,0.815538462,197,251,1.075268817,5,13,4,22,18,17,19,2,14,8,10,30,60,12,4231,Cameroon,w
2010,E,29,Denmark,1,19,7,0.368421053,7,56,464,592,78,0.952380952,1.575,80,126,84,110,0.634920635,0.763636364,0.831443689,300,356,1.145454545,8,11,2,21,14,22,17,5,12,9,23,33,44,23,4321,Japan,l
2010,E,29,Japan,3,15,10,0.666666667,2,44,220,348,63,0.545454545,2.194444444,36,79,66,88,0.455696203,0.75,0.607594937,118,181,0.897727273,1,13,6,20,11,15,21,5,13,15,24,13,63,10,4123,Denmark,w
2010,E,30,Cameroon,1,15,3,0.2,6,51,431,616,70,0.693877551,1.720588235,68,117,98,144,0.581196581,0.680555556,0.85400314,265,355,0.8125,3,14,5,22,13,23,15,4,16,7,34,22,44,18,442,Netherlands,l
2010,E,30,Netherlands,2,15,8,0.533333333,1,49,369,563,66,0.346938776,2.529411765,34,86,98,152,0.395348837,0.644736842,0.613194115,237,325,0.565789474,6,18,5,29,15,17,14,3,19,4,67,22,11,15,4231,Cameroon,w
2010,F,31,Italy,1,10,5,0.5,8,52,427,611,70,0.360544218,2.056603774,53,109,147,189,0.486238532,0.777777778,0.625163827,227,313,0.576719577,4,9,6,19,15,16,19,11,10,10,72,21,7,15,4231,Paraguay,d
2010,F,31,Paraguay,1,8,1,0.125,4,48,300,475,63,0.49382716,2.4,40,96,81,119,0.416666667,0.680672269,0.612139918,179,260,0.806722689,6,14,7,27,20,19,13,3,15,3,29,0,71,15,4132,Italy,d
2010,F,32,New Zealand,1,8,2,0.25,3,52,286,421,68,1.477272727,1.892307692,65,123,44,64,0.528455285,0.6875,0.768662232,177,234,1.921875,5,12,5,22,16,19,23,4,14,2,100,0,0,17,433,Slovakia,d
